N : 100000 , result : 3.141593 , time : 0.001671 , threadsNum : 2
N : 100000 , result : 3.141593 , time : 0.000859 , threadsNum : 4
N : 100000 , result : 3.141593 , time : 0.000593 , threadsNum : 6
N : 100000 , result : 3.141593 , time : 0.000454 , threadsNum : 8
N : 100000 , result : 3.141593 , time : 0.000375 , threadsNum : 10
N : 100000 , result : 3.141593 , time : 0.000333 , threadsNum : 12
N : 100000 , result : 3.141593 , time : 0.004540 , threadsNum : 14
N : 100000 , result : 3.141593 , time : 0.004434 , threadsNum : 16
N : 100000 , result : 3.141593 , time : 0.004424 , threadsNum : 18
N : 100000 , result : 3.141593 , time : 0.004386 , threadsNum : 20
N : 100000 , result : 3.141593 , time : 0.004420 , threadsNum : 22
N : 100000 , result : 3.141593 , time : 0.004398 , threadsNum : 24
N : 100000 , result : 3.141593 , time : 0.004982 , threadsNum : 26
N : 100000 , result : 3.141593 , time : 0.006333 , threadsNum : 28
N : 100000 , result : 3.141593 , time : 0.008363 , threadsNum : 30
N : 100000 , result : 3.141593 , time : 0.008488 , threadsNum : 32
N : 100000 , result : 3.141593 , time : 0.008848 , threadsNum : 34
N : 100000 , result : 3.141593 , time : 0.010359 , threadsNum : 36
N : 100000 , result : 3.141593 , time : 0.009627 , threadsNum : 38
N : 100000 , result : 3.141593 , time : 0.010380 , threadsNum : 40
