Acc : 0.0000000000000018 , time : 0.000017 , N : 770 , result : 3.1415926535897913
Acc : -0.0000000000000009 , time : 0.000017 , N : 780 , result : 3.1415926535897940
Acc : 0.0000000000000000 , time : 0.000017 , N : 790 , result : 3.1415926535897931
Acc : -0.0000000000000031 , time : 0.000017 , N : 800 , result : 3.1415926535897962
Acc : 0.0000000000000009 , time : 0.000018 , N : 810 , result : 3.1415926535897922
Acc : 0.0000000000000013 , time : 0.000018 , N : 820 , result : 3.1415926535897918
Acc : 0.0000000000000013 , time : 0.000018 , N : 830 , result : 3.1415926535897918
Acc : 0.0000000000000009 , time : 0.000018 , N : 840 , result : 3.1415926535897922
Acc : -0.0000000000000031 , time : 0.000019 , N : 850 , result : 3.1415926535897962
Acc : -0.0000000000000018 , time : 0.000018 , N : 860 , result : 3.1415926535897949
Acc : -0.0000000000000018 , time : 0.000019 , N : 870 , result : 3.1415926535897949
Acc : -0.0000000000000013 , time : 0.000020 , N : 880 , result : 3.1415926535897944
Acc : 0.0000000000000000 , time : 0.000019 , N : 890 , result : 3.1415926535897931
Acc : 0.0000000000000013 , time : 0.000019 , N : 900 , result : 3.1415926535897918
Acc : -0.0000000000000058 , time : 0.000020 , N : 910 , result : 3.1415926535897989
Acc : -0.0000000000000009 , time : 0.000020 , N : 920 , result : 3.1415926535897940
Acc : -0.0000000000000018 , time : 0.000020 , N : 930 , result : 3.1415926535897949
Acc : 0.0000000000000009 , time : 0.000027 , N : 940 , result : 3.1415926535897922
Acc : -0.0000000000000027 , time : 0.000020 , N : 950 , result : 3.1415926535897958
Acc : -0.0000000000000018 , time : 0.000020 , N : 960 , result : 3.1415926535897949
Acc : -0.0000000000000013 , time : 0.000021 , N : 970 , result : 3.1415926535897944
Acc : -0.0000000000000004 , time : 0.000020 , N : 980 , result : 3.1415926535897936
Acc : 0.0000000000000031 , time : 0.000021 , N : 990 , result : 3.1415926535897900
Acc : -0.0000000000000027 , time : 0.000021 , N : 1000 , result : 3.1415926535897958
